Country,State,City,FIPS Code,Region,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Without MED,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Rate,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning)
United States,New York,Buffalo,15380,Mid-Atlantic,18098,54556,22294,256304,6,1,0.01,1.43,3,0,0,0,10,12,0,0,0.13,12,159.39,1.23,0.63,0.42,0.07,0.07,0.35,0.35,0.09,0.04,0.25,0.13,0,0.03,6,0.01,7,0,3,3
United States,New York,New York City,35620,Mid-Atlantic,451787,54556,35761,8398761,6,1,0.01,0.87,3,0,0,0,10,12,5,0,0.13,12,159.39,1.23,0.34,0.32,0.07,0.07,0.09,0.04,0.09,0.04,0.04,0.03,0,0.04,6,0.01,7,300,3,3
United States,New York,Rochester,40380,Mid-Atlantic,16672,54556,21054,206284,6,1,0.01,1.23,3,0,0,0,10,12,0,0,0.13,12,159.39,1.23,0.28,0.23,0.07,0.07,0,0,0.09,0.04,0,0,0,0.02,6,0,6,500,3,3
United States,North Carolina,Charlotte,16740,South Atlantic,38770,53819,34687,872498,5,14,0,0.43,3,0,0,0,0,0,0,0,0.09,47,106.24,1.25,0.59,0.41,0.03,0.03,0.35,0.35,0.05,0.05,0.25,0.13,0,0.01,4,0,6,500,4,4
United States,North Carolina,Greensboro,24660,South Atlantic,11296,53819,28502,294722,5,14,0.01,0.53,3,0,0,0,0,12,0,0,0.09,47,106.24,1.25,0.24,0.27,0.03,0.03,0,0,0.05,0.05,0,0,0,0.06,4,0,5,300,2,2
United States,North Carolina,Raleigh,39580,South Atlantic,21759,53819,36875,469298,5,14,0,0.41,3,0,0,0,0,0,0,0,0.09,47,106.24,1.25,0.24,0.27,0.03,0.03,0,0,0.05,0.05,0,0,0,0.01,4,0,7,300,2,2
United States,North Dakota,Fargo,22020,West North Central,4412,70762,31866,124844,5,28,0.01,0.47,3,0,0,0,0,0,0,0,0.08,12,443.81,3.76,0.25,0.24,0.04,0.01,0,0,0.03,0.01,0,0,0,0.01,5,0,4,250,4,3
United States,Ohio,Cincinnati,17140,East North Central,27353,44825,29156,302605,5,7,0.01,0.62,3,0,0,0,0,0,0,0,0.09,43,117.66,1.12,0.23,0.27,0,0,0.02,0.02,0.05,0,0.02,0.02,0,0.02,4,0,8,400,2,2
United States,Ohio,Cleveland,17460,East North Central,32906,44825,20085,383793,5,7,0.01,0.9,3,0,0,0,0,12,0,0,0.09,43,117.66,1.12,0.21,0.27,0,0,0,0,0.05,0,0.03,0.03,0,0.03,4,0,6,150,2,2
United States,Ohio,Columbus,18140,East North Central,24813,44825,26778,892533,5,7,0.01,0.68,3,0,0,0,0,0,0,0,0.09,43,117.66,1.12,0.21,0.27,0,0,0,0,0.05,0,0.03,0.03,0,0.02,4,0,6,250,2,2
