Data Year,Utility Number,Utility Name,State,Ownership,Short Form,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically
2019,19806,"Victoria Electric Coop, Inc",TX,Cooperative,,187.97,1.5,125.31333,156.31,1.32,118.41667,171.66,1.07,160.42991,23155,14.4,Y
2019,19813,Vernon Electric Coop,WI,Cooperative,,187.7,,,125,,,62.7,,,11237,7.2,Y
2019,19820,Victory Electric Coop Assn Inc,KS,Cooperative,,535.6,,,531.9,,,535.6,,,19747,13.8,Y
2019,19840,"Valley Electric Assn, Inc",NV,Cooperative,,96.196,1.094,87.93053,58.089,0.858,67.702797,66.764,1.004,66.498008,24582,24.9,Y
2019,19876,Virginia Electric & Power Co,NC,Investor Owned,,,,,,,,,,,,,
2019,19876,Virginia Electric & Power Co,VA,Investor Owned,,,,,,,,,,,,,
2019,19882,Virginia Tech Electric Service,VA,State,,,,,,,,,,,,,
2019,19947,City of Wadena - (MN),MN,Municipal,,1.827,0.024,76.125,,,,,,,2683,7.2,Y
2019,19951,City of Wadsworth - (OH),OH,Municipal,,25.936,0.297,87.326599,,,,,,,13750,12.5,Y
2019,19974,Town of Wake Forest - (NC),NC,Municipal,,,,,,,,,,,,,
2019,19981,Wake Electric Membership Corp,NC,Cooperative,,87.2,1.091,79.926673,87.2,1.091,79.926673,83.86,1.056,79.412879,46705,24,Y
2019,20038,Town of Wallingford - (CT),CT,Municipal,,,,,,,,,,,,,
2019,20065,Walton Electric Member Corp,GA,Cooperative,,93.422,1.189,78.571909,93.422,1.189,78.571909,,,,128811,25,N
2019,20111,Warren County Rural E M C,IN,Cooperative,Y,,,,,,,,,,,,
2019,20130,Warren Rural Elec Coop Corp,KY,Cooperative,,211.012,2.36,89.411864,136.086,1.794,75.856187,158.09,1.82,86.862637,66357,12.5,Y
2019,20134,City of Warroad,MN,Municipal,,,,,,,,,,,,,
2019,20135,City of Washington - (UT),UT,Municipal,,,,,,,,,,,,,
2019,20136,City of Waseca - (MN),MN,Municipal,,22.5,0.41,54.878049,18.2,0.32,56.875,22.5,0.41,54.878049,4184,13.8,N
2019,20146,Washington Elec Member Corp,GA,Cooperative,,909.71,,,909.71,,,214.1,,,15603,25,Y
2019,20169,Avista Corp,ID,Investor Owned,,186,1.25,148.8,167,1.18,141.52542,130,0.89,146.06742,133938,35,N
2019,20169,Avista Corp,WA,Investor Owned,,222,1.08,205.55556,121,0.82,147.56098,207,0.95,217.89474,256742,35,Y
2019,20187,Watertown Municipal Utilities,SD,Municipal,,48.443,0.477,101.55765,16.326,0.174,93.827586,,,,13207,12.5,N
2019,20211,Village of Waunakee - (WI),WI,Municipal,,80.63,0.54,149.31481,80.63,0.54,149.31481,,,,6524,15,N
2019,20213,Waupun Utilities,WI,Municipal,,2.41,0.017,141.76471,2.41,0.017,141.76471,2.41,0.017,141.76471,4454,12.4,Y
2019,20214,Waverly Municipal Elec Utility,IA,Municipal,,,,,,,,,,,,,
2019,20216,Whitewater Valley Rural EMC,IN,Cooperative,,,,,,,,,,,,,N
2019,20224,City of Waynesville - (MO),MO,Municipal,Y,293.198,1.753,167.25499,,,,,,,2386,12.5,N
2019,20228,Weakley County Mun Elec Sys,TN,Municipal,,368.61,15.451,23.856708,205.72,12.386,16.609075,205.72,12.386,16.609075,20453,14.4,N
2019,20230,Weatherford Mun Utility System,TX,Municipal,,,,,,,,,,,,,
2019,20310,Town of Wellesley - (MA),MA,Municipal,,,,,,,,,,,,,
2019,20318,Webster Electric Coop,MO,Cooperative,,,,,,,,,,,,,
2019,20334,Wellsborough Electric Co,PA,Investor Owned,,,,,,,,,,,,,
2019,20363,West Central Electric Coop Inc - (MO),MO,Cooperative,,574.71,2.357,243.83114,79.48,,,,,,14113,7.6,Y
2019,20368,West Central Electric Coop Inc - (SD),SD,Cooperative,,99.8,0.957,104.28422,99.8,0.957,104.28422,87.5,0.886,98.758465,6842,25,Y
2019,20387,West Penn Power Company,PA,Investor Owned,,422.023,1.559,270.70109,197.848,1.282,154.32761,385.048,1.406,273.8606,717331,25,Y
2019,20401,West River Electric Assn Inc,SD,Cooperative,,61.56,1.12,54.964286,61.56,1.12,54.964286,22.42,0.083,270.12048,17677,25,Y
2019,20404,AEP Texas North Company,TX,Investor Owned,,200.7,1.469,136.62355,111.2,1.134,98.059965,153.3,1.031,148.69059,193284,35,Y
2019,20422,Whetstone Valley Elec Coop Inc,SD,Cooperative,,55.903,1.623,34.444239,55.903,1.623,34.444239,31.249,0.314,99.519108,3426,13,N
2019,20456,Twin Valleys Public Power Dist,NE,Political Subdivision,,,,,,,,,,,,,
2019,20477,City of Westerville - (OH),OH,Municipal,,39,0.52,75,18.35,0.44,41.704545,39,0.52,75,17347,13.2,Y
2019,20481,City of Westfield - (MA),MA,Municipal,,135.186,1.829,73.912521,80.332,1.713,46.895505,135.186,1.829,73.912521,18103,23,Y
2019,20510,"Wheatland Electric Coop, Inc",KS,Cooperative,,137.8,1.33,103.60902,116.7,0.94,124.14894,115.6,0.88,131.36364,32750,34.5,Y
2019,20521,Wheeling Power Co,WV,Investor Owned,,852.3,2.724,312.88546,524.6,2.441,214.91192,831.9,2.618,317.76165,41482,35,Y
2019,20576,"White River Electric Assn, Inc",CO,Cooperative,,,,,,,,,,,,,
2019,20603,Northeastern Rural E M C,IN,Cooperative,,81.36,1.246,65.29695,61.56,1.079,57.052827,77.94,1.17,66.615385,29165,12.5,Y
2019,20639,"Wild Rice Electric Coop, Inc",MN,Cooperative,,,,,,,,,,,,,
2019,20737,Willmar Municipal Utilities,MN,Municipal,,4.83,0.09,53.666667,4.83,0.09,53.666667,4.83,0.09,53.666667,9358,12.5,Y
2019,20785,City of Wilson,NC,Municipal,,59.11,0.77,76.766234,29.39,0.514,57.178988,59.1,0.77,76.753247,37100,23,Y
2019,20793,City of Winchester - (TN),TN,Municipal,,,,,,,,,,,,,
2019,20806,City of Windom,MN,Municipal,,,,,,,,,,,,,
2019,20824,Village of Winnetka - (IL),IL,Municipal,,,,,,,,,,,,,
2019,20841,"Wiregrass Electric Coop, Inc",AL,Cooperative,,106.62,1.66,64.228916,78.98,1.08,73.12963,,,,24887,13.2,Y
2019,20847,Wisconsin Electric Power Co,WI,Investor Owned,,280,0.94,297.87234,85,0.65,130.76923,279,0.93,300,1136654,35,N
2019,20856,Wisconsin Power & Light Co,WI,Investor Owned,,,,,,,,,,,,,
2019,20860,Wisconsin Public Service Corp,WI,Investor Owned,,909,1.79,507.82123,115,0.98,117.34694,899,1.67,538.32335,452552,46,N
2019,20862,Wisconsin Rapids W W & L Comm,WI,Municipal,,,,,,,,,,,,,
2019,20885,Withlacoochee River Elec Coop,FL,Cooperative,,144.305,2.059,70.084993,139.178,1.976,70.434211,102.371,1.807,56.652463,220811,25,N
2019,20927,"Wood County Electric Coop, Inc",TX,Cooperative,,598.524,3.108,192.57529,173.59,1.702,101.99177,582.63,2.864,203.43226,37283,12.5,Y
2019,20948,Wise Electric Coop Inc,TX,Cooperative,,,,,,,,,,,,,
2019,20951,Woodbury County Rural E C A,IA,Cooperative,,,,,,,,,,,,,
2019,20963,Woodruff Electric Coop Corp,AR,Cooperative,,31.8,0.55,57.818182,31.8,0.55,57.818182,31.8,0.55,57.818182,19027,13.2,N
2019,20996,Wright-Hennepin Coop Elec Assn,MN,Cooperative,,62.053,0.689,90.062409,38.56,0.33,116.84848,52.009,0.492,105.70935,50647,12,Y
2019,21002,York Electric Coop Inc,SC,Cooperative,,84.7,0.775,109.29032,72.27,0.722,100.09695,72.88,0.659,110.59181,62335,24.9,N
2019,21013,City of Worthington - (MN),MN,Municipal,,,,,,,,,,,,,
2019,21048,Wyandotte Municipal Serv Comm,MI,Municipal,,,,,,,,,,,,,
