Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Political Subdivision - W/O MED,Average Outage - SAIDI - State - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Political Subdivision - W/O MED,Average Outage - SAIFI - State - W/O MED,Average Outage - SAIFI - Without MED
United States,South Dakota,Sioux Falls,West North Central,77184,31161,181883,0.09,19,1,91.06,70.043,n/a,n/a,n/a,80.5515,1.234,0.936,n/a,n/a,n/a,1.085
United States,Tennessee,Memphis,East South Central,42180,24243,650618,0.11,51,1,186.471,303.1,122.635,n/a,n/a,204.0686667,19.702,1.942,1.91,n/a,n/a,7.851333333
United States,Tennessee,Nashville,East South Central,42180,31109,669053,0.11,51,1,186.471,303.1,122.635,n/a,n/a,204.0686667,19.702,1.942,1.91,n/a,n/a,7.851333333
United States,Texas,Austin,West South Central,268597,37888,964254,0.08,68,1,231.584,160.758,36.889,n/a,n/a,143.077,1.719,1.45,0.534,n/a,n/a,1.234333333
United States,Texas,Dallas,West South Central,268597,31260,1345047,0.08,68,1,231.584,160.758,36.889,n/a,n/a,143.077,1.719,1.45,0.534,n/a,n/a,1.234333333
United States,Texas,Houston,West South Central,268597,24325,2325502,0.08,68,1,231.584,160.758,36.889,n/a,n/a,143.077,1.719,1.45,0.534,n/a,n/a,1.234333333
United States,Texas,San Antonio,West South Central,268597,24325,1532233,0.08,68,1,231.584,160.758,36.889,n/a,n/a,143.077,1.719,1.45,0.534,n/a,n/a,1.234333333
United States,Utah,Salt Lake City,Mountain,84899,32954,200591,0.08,15,1,216.615,123.705,295.925,n/a,n/a,212.0816667,0.65,1.051,0.792,n/a,n/a,0.831
United States,Vermont,Burlington,New England,9623,26011,42899,0.16,7,1,357.66,n/a,n/a,n/a,n/a,357.66,2.34,n/a,n/a,n/a,n/a,2.34
United States,Virginia,Arlington,South Atlantic,42775,67061,234965,0.08,22,1,241.184,283.455,44.601,n/a,n/a,189.7466667,1.933,1.594,0.397,n/a,n/a,1.308
United States,Virginia,Virginia Beach,South Atlantic,42775,34608,450189,0.08,22,1,241.184,283.455,44.601,n/a,n/a,189.7466667,2.009,1.594,0.397,n/a,n/a,1.333333333
United States,Washington,Seattle,Pacific,71362,51872,744955,0.09,31,1,432.688,122.531,60.65,158.339,n/a,193.552,2.129,0.83,0.681,0.905,n/a,1.13625
United States,West Virginia,Charleston,South Atlantic,24038,33833,47215,0.09,5,1,386.51,494.92,n/a,n/a,n/a,440.715,4,2.268,n/a,n/a,n/a,3.134
United States,Wisconsin,Milwaukee,East North Central,65498,21627,592025,0.11,41,1,97.922,65.932,21.429,n/a,n/a,61.761,0.759,0.5598,0.315,n/a,n/a,0.5446
United States,Wyoming,Cheyenne,Mountain,97818,31981,63957,0.09,11,1,141.277,55.704,n/a,n/a,n/a,98.4905,1.573,0.743,n/a,n/a,n/a,1.158
Mexico,Aguascalientes,Aguascalientes ,n/a,148.6,2038.464508,722250,0.070644009,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Baja California,Tijuana ,n/a,27587,2896.392845,1301000,0.03300879,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Baja California Sur,La Paz ,n/a,29218,2822.094087,244219,0.107083634,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Campeche,Campeche,n/a,22365,1943.158508,220389,0.079688938,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Chiapas,Tuxtla Gutiérrez,n/a,28306,975.8022874,537102,0.058792034,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Chihuahua,Chihuahua,n/a,95545,2330.525362,809232,0.057128599,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Chihuahua,Juárez,n/a,95545,2330.525362,1321000,0.057128599,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Coahuila,Saltillo,n/a,58531,2150.113658,709671,0.058272211,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Coahuila,Piedras Negras,n/a,58531,2150.113658,150178,0.058272211,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Colima,Colima,n/a,2172,2204.00138,711235,0.064146216,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Durango,Durango,n/a,48410,1768.034135,654876,0.057128599,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Guanajuato,León,n/a,11817,2426.814205,1239000,0.070644009,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Guerrero,Acapulco,n/a,24819,1209.257114,673479,0.058220228,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
